"","Data Science Certification","IDSE (master)","Other masters","Ph.D.","Statistics (master)"
"Matlab",18.2,36.8,40,33.3,41.2
"R",59.1,82.5,80,100,88.2
"Excel",86.4,64.9,80,66.7,52.9
"RStudio",54.5,80.7,80,66.7,88.2
"ggplot2",13.6,28.1,40,33.3,35.3
"Stata",13.6,14,26.7,33.3,11.8
"Sweave_knitr",4.5,7,26.7,0,0
"SPSS",0,14,20,0,17.6
"lattice",0,1.8,13.3,0,0
"Github",40.9,38.6,46.7,33.3,29.4
"LaTeX",9.1,36.8,33.3,33.3,23.5
"Google Drive",81.8,73.7,46.7,66.7,41.2
"Dropbox",63.6,61.4,53.3,100,41.2
"SQL",59.1,56.1,46.7,33.3,17.6
"Shell",50,40.4,33.3,66.7,0
"C_CPP",18.2,33.3,46.7,0,35.3
"Python",72.7,89.5,73.3,66.7,35.3
"Regular Expression",22.7,14,26.7,33.3,0
"XML",22.7,12.3,6.7,0,5.9
"Web",27.3,24.6,20,33.3,5.9
