"","Data Science Certification","IDSE (master)","Other masters","Ph.D.","Statistics (master)"
"Matlab",4,21,6,1,7
"R",13,47,12,3,15
"Excel",19,37,12,2,9
"RStudio",12,46,12,2,15
"ggplot2",3,16,6,1,6
"Stata",3,8,4,1,2
"Sweave_knitr",1,4,4,0,0
"SPSS",0,8,3,0,3
"lattice",0,1,2,0,0
"Github",9,22,7,1,5
"LaTeX",2,21,5,1,4
"Google Drive",18,42,7,2,7
"Dropbox",14,35,8,3,7
"SQL",13,32,7,1,3
"Shell",11,23,5,2,0
"C_CPP",4,19,7,0,6
"Python",16,51,11,2,6
"Regular Expression",5,8,4,1,0
"XML",5,7,1,0,1
"Web",6,14,3,1,1
