"","Matlab","R","Excel","RStudio","ggplot2","Stata","Sweave_knitr","SPSS","lattice","Github","LaTeX","Google Drive","Dropbox","SQL","Shell","C_CPP","Python","Regular Expression","XML","Web"
"Matlab",34.2,87.2,74.4,84.6,33.3,17.9,5.1,23.1,2.6,41,30.8,53.8,48.7,48.7,38.5,51.3,79.5,7.7,17.9,23.1
"R",37.8,78.9,70,90,34.4,17.8,10,13.3,3.3,40,32.2,70,63.3,53.3,35.6,32.2,72.2,16.7,13.3,21.1
"Excel",36.7,79.7,69.3,77.2,29.1,20.3,10.1,11.4,3.8,41.8,29.1,78.5,69.6,55.7,38,29.1,77.2,16.5,15.2,26.6
"RStudio",37.9,93.1,70.1,76.3,35.6,18.4,10.3,14.9,3.4,40.2,32.2,70.1,64.4,51.7,35.6,33.3,75.9,17.2,13.8,19.5
"ggplot2",40.6,96.9,71.9,96.9,28.1,18.8,21.9,18.8,9.4,59.4,53.1,84.4,75,65.6,50,37.5,84.4,28.1,18.8,31.2
"Stata",38.9,88.9,88.9,88.9,33.3,15.8,11.1,33.3,5.6,16.7,33.3,72.2,61.1,55.6,27.8,33.3,88.9,5.6,11.1,16.7
"Sweave_knitr",22.2,100,88.9,100,77.8,22.2,7.9,44.4,33.3,77.8,88.9,77.8,77.8,77.8,66.7,44.4,66.7,44.4,33.3,44.4
"SPSS",64.3,85.7,64.3,92.9,42.9,42.9,28.6,12.3,14.3,21.4,35.7,57.1,50,35.7,21.4,57.1,71.4,7.1,7.1,14.3
"lattice",33.3,100,100,100,100,33.3,100,66.7,2.6,66.7,100,66.7,66.7,66.7,33.3,66.7,100,0,0,0
"Github",36.4,81.8,75,79.5,43.2,6.8,15.9,6.8,4.5,38.6,47.7,81.8,68.2,72.7,63.6,36.4,81.8,27.3,27.3,40.9
"LaTeX",36.4,87.9,69.7,84.8,51.5,18.2,24.2,15.2,9.1,63.6,28.9,81.8,60.6,60.6,60.6,33.3,84.8,15.2,18.2,33.3
"Google Drive",27.6,82.9,81.6,80.3,35.5,17.1,9.2,10.5,2.6,47.4,35.5,66.7,78.9,59.2,42.1,31.6,80.3,21.1,17.1,27.6
"Dropbox",28.4,85.1,82.1,83.6,35.8,16.4,10.4,10.4,3,44.8,29.9,89.6,58.8,62.7,41.8,29.9,77.6,22.4,16.4,28.4
"SQL",33.9,85.7,78.6,80.4,37.5,17.9,12.5,8.9,3.6,57.1,35.7,80.4,75,49.1,62.5,41.1,85.7,25,25,39.3
"Shell",36.6,78,73.2,75.6,39,12.2,14.6,7.3,2.4,68.3,48.8,78,68.3,85.4,36,41.5,92.7,39,31.7,48.8
"C_CPP",55.6,80.6,63.9,80.6,33.3,16.7,11.1,22.2,5.6,44.4,30.6,66.7,55.6,63.9,47.2,31.6,80.6,27.8,27.8,30.6
"Python",36,75.6,70.9,76.7,31.4,18.6,7,11.6,3.5,41.9,32.6,70.9,60.5,55.8,44.2,33.7,75.4,16.3,14,25.6
"Regular Expression",16.7,83.3,72.2,83.3,50,5.6,22.2,5.6,0,66.7,27.8,88.9,83.3,77.8,88.9,55.6,77.8,15.8,44.4,55.6
"XML",50,85.7,85.7,85.7,42.9,14.3,21.4,7.1,0,85.7,42.9,92.9,78.6,100,92.9,71.4,85.7,57.1,12.3,78.6
"Web",36,76,84,68,40,12,16,8,0,72,44,84,76,88,80,44,88,40,44,21.9
