"","Matlab","R","Excel","RStudio","ggplot2","Stata","Sweave_knitr","SPSS","lattice","Github","LaTeX","Google Drive","Dropbox","SQL","Shell","C_CPP","Python","Regular Expression","XML","Web"
"Matlab",0,34,29,33,13,7,2,9,1,16,12,21,19,19,15,20,31,3,7,9
"R",34,0,63,81,31,16,9,12,3,36,29,63,57,48,32,29,65,15,12,19
"Excel",29,63,0,61,23,16,8,9,3,33,23,62,55,44,30,23,61,13,12,21
"RStudio",33,81,61,0,31,16,9,13,3,35,28,61,56,45,31,29,66,15,12,17
"ggplot2",13,31,23,31,0,6,7,6,3,19,17,27,24,21,16,12,27,9,6,10
"Stata",7,16,16,16,6,0,2,6,1,3,6,13,11,10,5,6,16,1,2,3
"Sweave_knitr",2,9,8,9,7,2,0,4,3,7,8,7,7,7,6,4,6,4,3,4
"SPSS",9,12,9,13,6,6,4,0,2,3,5,8,7,5,3,8,10,1,1,2
"lattice",1,3,3,3,3,1,3,2,0,2,3,2,2,2,1,2,3,0,0,0
"Github",16,36,33,35,19,3,7,3,2,0,21,36,30,32,28,16,36,12,12,18
"LaTeX",12,29,23,28,17,6,8,5,3,21,0,27,20,20,20,11,28,5,6,11
"Google Drive",21,63,62,61,27,13,7,8,2,36,27,0,60,45,32,24,61,16,13,21
"Dropbox",19,57,55,56,24,11,7,7,2,30,20,60,0,42,28,20,52,15,11,19
"SQL",19,48,44,45,21,10,7,5,2,32,20,45,42,0,35,23,48,14,14,22
"Shell",15,32,30,31,16,5,6,3,1,28,20,32,28,35,0,17,38,16,13,20
"C_CPP",20,29,23,29,12,6,4,8,2,16,11,24,20,23,17,0,29,10,10,11
"Python",31,65,61,66,27,16,6,10,3,36,28,61,52,48,38,29,0,14,12,22
"Regular Expression",3,15,13,15,9,1,4,1,0,12,5,16,15,14,16,10,14,0,8,10
"XML",7,12,12,12,6,2,3,1,0,12,6,13,11,14,13,10,12,8,0,11
"Web",9,19,21,17,10,3,4,2,0,18,11,21,19,22,20,11,22,10,11,0
